Census_Tract,Num_lived,Num_worked,centroid_lat,centroid_lon,key_location,,,,,
5731,1929,455,42.31553652,-83.29877064,,,,,,
5709,898,96,42.28368498,-83.30464698,,,,,,
5547,1494,440,42.39203263,-83.30511286,,,,,,
5551,2052,1147,42.37032995,-83.30421343,,,,,,
5702,1177,158,42.30176457,-83.30556409,,,,,,
5556,1288,207,42.35945465,-83.3037927,,,,,,
5708,970,74,42.28233535,-83.31897149,,,,,,
5570,1448,595,42.42013025,-83.32573435,,,,,,
5571,1138,407,42.40562131,-83.32504782,,,,,,
5704,1886,502,42.30038382,-83.32033803,,,,,,
5582,1982,545,42.39126331,-83.32436779,,,,,,
5699,1151,71,42.31416587,-83.32080042,,,,,,
5591,1287,173,42.36581752,-83.32308196,,,,,,
5592,1054,169,42.35857324,-83.32274584,,,,,,
5706,765,100,42.28093806,-83.33377843,,,,,,
5705,1189,663,42.29888712,-83.33471857,,,,,,
5569,1713,241,42.41959531,-83.34527531,,,,,,
5572,973,906,42.40513331,-83.34462369,,,,,,
5581,1676,1025,42.3905913,-83.34390593,,,,,,
5697,1925,392,42.31821309,-83.34033876,,,,,,
5589,952,951,42.36522471,-83.34264713,,,,,,
5590,1276,39,42.35801349,-83.34218136,,,,,,
5568,891,406,42.41912467,-83.36482208,,,,,,
5658,1562,432,42.30341867,-83.35677088,,,,,,
5573,1066,702,42.40468141,-83.36415187,,,,,,
5580,1903,2131,42.39016318,-83.36350991,,,,,,
5685,1512,134,42.2923989,-83.36361238,,,,,,
5696,1634,54,42.31413072,-83.36202492,,,,,,
5664,487,576,42.28512292,-83.36569444,,,,,,
5587,1416,461,42.36482102,-83.36221829,,,,,,
5588,1368,13,42.35761329,-83.36172335,,,,,,
5659,1148,216,42.3038384,-83.36883467,,,,,,
5567,1183,354,42.41866556,-83.38434261,,,,,,
5574,1609,142,42.40438974,-83.38330386,,,,,,
5586,1021,445,42.36087799,-83.37919581,,,,,,
5684,1757,281,42.30243963,-83.38066027,,,,,,
5679,1351,455,42.31683914,-83.38226591,,,,,,
5665,913,1434,42.28297082,-83.3885102,,,,,,
5579,2043,2819,42.38965468,-83.38793283,,,,,,
5683,1786,293,42.29179185,-83.39274271,,,,,,
5566,1566,371,42.41821168,-83.40392598,,,,,,
5682,1715,1223,42.30251575,-83.39811723,,,,,,
5575,1760,713,42.40370336,-83.40286262,,,,,,
5680,924,717,42.31700898,-83.39865047,,,,,,
5585,1921,295,42.36052496,-83.39880138,,,,,,
5666,930,338,42.2835168,-83.41295299,,,,,,
5565,911,16206,42.42495351,-83.42352226,,,,,,
5656,1059,108,42.3050504,-83.41827779,,,,,,
5576,1418,1781,42.40336596,-83.42263739,,,,,,
5577,2075,643,42.38943913,-83.42138754,,,,,,
5651,1589,2966,42.32100305,-83.41854072,,,,,,
5584,1846,865,42.36139876,-83.42105266,,,,,,
5628,1770,7048,42.36563235,-83.44411013,,,,,,
5616,1977,3719,42.3859539,-83.4477097,,,,,,
5604,2690,1009,42.40344989,-83.45132209,,,,,,
5603,1530,1828,42.41776618,-83.45446831,,,,,,
5647,2328,372,42.30120681,-83.45036917,,,,,,
5641,2155,522,42.31561801,-83.45075521,,,,,,
5625,951,1542,42.37566247,-83.45799989,,,,,,
5648,2253,1170,42.28453759,-83.46593557,,,,,,
5627,1725,2281,42.36436372,-83.47033785,,,,,,
5646,3345,820,42.30046304,-83.47218009,,,,,,
5643,1197,304,42.31145242,-83.47250999,,,,,,
5626,1796,2883,42.37598719,-83.47404106,,,,,,
5642,1802,1429,42.31866903,-83.47335736,,,,,,
5613,3570,2387,42.42062475,-83.49712032,,,,,,
5623,1014,363,42.37482893,-83.49801357,,,,,,
5617,1191,13003,42.38627597,-83.51265031,,,,,,
5645,9905,3405,42.30098518,-83.52568294,,,,,,
5612,3226,406,42.4146323,-83.53107633,,,,,,
5619,3014,368,42.36397954,-83.52667341,,,,,,
